구분,합계,부산,경인,충남,전북,전남,강원,경북,경남,제주
1970,38256,30083,678,306,376,2119,329,321,2896,1148
1975,70123,59052,65,151,178,1081,964,966,6240,1426
1980,62690,55106,53,39,13,663,380,509,5294,633
1985,68479,57545,125,41,4,2034,489,1763,4979,1499
1986,103511,89609,452,131,145,3475,286,577,7490,1346
1987,101337,77440,204,23,207,6727,1919,6844,6700,1273
1988,162828,138325,492,58,336,8326,1222,1627,10907,1535
1989,163617,147168,149,69,335,7652,267,431,5975,1571
1990,96297,90039,71,11,131,2778,240,1148,1485,394
1991,89738,82256,147,10,96,1647,925,2120,1718,819
1992,115619,103282,470,50,162,4931,319,1071,3988,1346
1993,174684,146324,246,39,146,13004,641,5152,7083,2049
1994,210442,180272,416,46,300,12511,1420,2960,11224,1293
1995,200481,150814,398,28,454,10917,4983,12344,17928,2615
1996,415003,351092,188,28,303,24244,121,1564,34247,3216
1997,160448,140880,102,28,126,4072,177,2764,10432,1867
1998,172922,153310,204,31,102,4790,237,498,7745,6005
1999,177491,150704,94,8,86,4566,151,2019,15399,4464
2000,145908,108512,88,8,78,4825,509,7091,21403,3394
2001,203717,160113,2375,219,53,8073,223,948,26224,5489
2002,141751,116848,897,14,72,3695,218,2340,12393,5274
2003,122044,106045,86,39,2667,14,218,9578,3397,
2004,184274,157078,100,485,18,5454,157,470,17539,2973
2005,135596,117763,85,23,11,3402,129,739,10431,3013
2006,101427,89909,53,582,16,1520,176,580,6934,1657
2007,143776,126983,125,2730,1,2362,221,640,7978,2736
2008,190457,155877,27,1076,7,4744,1422,8660,15279,3366
2009,175329,157571,33,73,298,2258,373,494,9856,4373
2010,99534,86914,13,179,350,1091,959,2468,5365,2195
2011,150576,128077,49,9,185,1535,562,1341,13618,5200
2012,128467,116060,36,34,378,1140,484,1632,5164,3539
2013,114770,100138,16,20,311,733,419,1137,7935,4061
2014,129923,112122,6,14,473,1647,1115,2296,7554,4696
2015,140623,122148,3,17,696,1255,257,560,7288,8399
2016,155444,133920,7,8,891,938,322,674,9842,8842
2017,115260,93906,4,11,456,1051,168,1072,14449,4143
